method,seed,scenario,episode,success,steps,failure_step,recovery_step,post_failure_chain_recovered,t_recovery_steps,action_hash
full,0,dropout030_delay2_relay_failure,70,0,260,39,-1,0,220.0,55c1d49f0feafb40
full,0,dropout030_delay2_relay_failure,71,0,260,39,-1,0,220.0,8bd69c22c7553aeb
full,0,dropout030_delay2_relay_failure,74,1,46,39,46,1,3.0,f2db7489eb8c4e3f
full,0,dropout030_delay2_relay_failure,73,1,47,39,47,1,4.0,0d3779b3526cc364
full,0,dropout030_delay2_relay_failure,72,1,48,39,48,1,5.0,4d637c6a5175f2a7
full,0,dropout030_delay2_relay_failure,75,0,260,39,-1,0,220.0,d3f3c6e67e5447e1
full,0,dropout030_delay2_relay_failure,79,1,46,39,46,1,3.0,c4729776d1bc4437
full,0,dropout030_delay2_relay_failure,76,1,47,39,47,1,4.0,34d995cfa9c1b206
full,0,dropout030_delay2_relay_failure,77,1,47,39,47,1,4.0,ba38e9f401403437
full,0,dropout030_delay2_relay_failure,78,1,47,39,47,1,4.0,52dc370f416f034b
full,0,dropout030_delay2_relay_failure,80,1,44,39,44,1,1.0,7f5470ff3a5d1ad3
full,0,dropout030_delay2_relay_failure,83,1,44,39,44,1,1.0,0c2f15d57eff472f
full,0,dropout030_delay2_relay_failure,81,1,46,39,46,1,3.0,3a762b3af126f56c
full,0,dropout030_delay2_relay_failure,82,1,46,39,46,1,3.0,5b6562cc3f68a370
full,0,dropout030_delay2_relay_failure,87,1,44,39,44,1,1.0,898373c91c6c7895
full,0,dropout030_delay2_relay_failure,84,1,45,39,45,1,2.0,ab820c3e44a66d06
full,0,dropout030_delay2_relay_failure,86,1,45,39,45,1,2.0,9c48bd79c2b0ac3a
full,0,dropout030_delay2_relay_failure,85,1,48,39,48,1,5.0,f94a0d6dbb22d835
full,0,dropout030_delay2_relay_failure,88,1,45,39,45,1,2.0,be6ecc7f2d09b94a
full,0,dropout030_delay2_relay_failure,91,1,45,39,45,1,2.0,162727185ad4c817
full,0,dropout030_delay2_relay_failure,89,1,46,39,46,1,3.0,97e49bd7b5ba3ede
full,0,dropout030_delay2_relay_failure,90,0,260,39,-1,0,220.0,d8938e6d62f6dfe7
full,0,dropout030_delay2_relay_failure,93,1,44,39,44,1,1.0,6aef19b7c2b01ccc
full,0,dropout030_delay2_relay_failure,95,1,45,39,45,1,2.0,fc5a113eaa027229
full,0,dropout030_delay2_relay_failure,94,1,48,39,48,1,5.0,e86f05458215e483
full,0,dropout030_delay2_relay_failure,92,0,260,39,-1,0,220.0,f048081e718a189c
full,0,dropout030_delay2_relay_failure,96,1,44,39,44,1,1.0,1d51a6266d4bddb2
full,0,dropout030_delay2_relay_failure,98,1,44,39,44,1,1.0,1935047574a19967
full,0,dropout030_delay2_relay_failure,97,1,46,39,46,1,3.0,f3cae8c0e7783165
full,0,dropout030_delay2_relay_failure,99,1,48,39,48,1,5.0,2b85c3d766ce97b3
full,0,dropout030_delay2_relay_failure_early,0,1,44,24,44,1,16.0,e233c20b20e8caf3
full,0,dropout030_delay2_relay_failure_early,1,1,44,24,44,1,16.0,25987ac1a814f586
full,0,dropout030_delay2_relay_failure_early,3,1,44,24,44,1,16.0,921dfa2d02cf1287
full,0,dropout030_delay2_relay_failure_early,2,1,45,24,45,1,17.0,e2ed5e5901d44515
full,0,dropout030_delay2_relay_failure_early,5,1,45,24,45,1,17.0,2a69d81ce5adbfe4
full,0,dropout030_delay2_relay_failure_early,6,1,45,24,45,1,17.0,d8a185994ff6dec3
full,0,dropout030_delay2_relay_failure_early,4,1,47,24,47,1,19.0,684cf9c6edc4d897
full,0,dropout030_delay2_relay_failure_early,7,1,47,24,47,1,19.0,f6296c0c6de1e788
full,0,dropout030_delay2_relay_failure_early,9,1,44,24,44,1,16.0,5140a941d2ef1974
full,0,dropout030_delay2_relay_failure_early,8,1,46,24,46,1,18.0,d587b313167a1faf
full,0,dropout030_delay2_relay_failure_early,11,1,46,24,46,1,18.0,cd5366b893ec42b6
full,0,dropout030_delay2_relay_failure_early,10,0,260,24,-1,0,235.0,90ec60864bb69b3f
full,0,dropout030_delay2_relay_failure_early,15,1,44,24,44,1,16.0,0c311f39e1922472
full,0,dropout030_delay2_relay_failure_early,12,1,46,24,46,1,18.0,bdd2eec9b72adeaf
full,0,dropout030_delay2_relay_failure_early,13,1,47,24,47,1,19.0,7e3bf26a7867b8d8
full,0,dropout030_delay2_relay_failure_early,14,1,48,24,48,1,20.0,fea14c3c4b7a99ed
full,0,dropout030_delay2_relay_failure_early,19,1,45,24,45,1,17.0,7f5e5268273d17e5
full,0,dropout030_delay2_relay_failure_early,17,1,46,24,46,1,18.0,8398ac694710dd90
full,0,dropout030_delay2_relay_failure_early,16,1,47,24,47,1,19.0,d109f85f3da55cae
full,0,dropout030_delay2_relay_failure_early,18,1,48,24,48,1,20.0,e5ac8797d88b62f6
full,0,dropout030_delay2_relay_failure_early,20,1,44,24,44,1,16.0,50c58b1949ddb4f0
full,0,dropout030_delay2_relay_failure_early,23,1,44,24,44,1,16.0,8228c49d0919881d
full,0,dropout030_delay2_relay_failure_early,21,1,46,24,46,1,18.0,bb15c69d6606471e
full,0,dropout030_delay2_relay_failure_early,22,0,260,24,-1,0,235.0,bad32e3f850afbbb
full,0,dropout030_delay2_relay_failure_early,25,1,44,24,44,1,16.0,ea4d796121fe7c61
full,0,dropout030_delay2_relay_failure_early,27,1,44,24,44,1,16.0,e90f1a0e3542ab70
full,0,dropout030_delay2_relay_failure_early,24,1,46,24,46,1,18.0,5e8f87542904522c
full,0,dropout030_delay2_relay_failure_early,26,1,48,24,48,1,20.0,19e58d7b41c67e37
full,0,dropout030_delay2_relay_failure_early,30,1,45,24,45,1,17.0,d6a1d4139cf8e72d
full,0,dropout030_delay2_relay_failure_early,31,1,45,24,45,1,17.0,fe2c7835d5230f46
full,0,dropout030_delay2_relay_failure_early,28,1,47,24,47,1,19.0,f7cab7c341674ffd
full,0,dropout030_delay2_relay_failure_early,29,1,47,24,47,1,19.0,092feb88d370d02c
full,0,dropout030_delay2_relay_failure_early,33,1,44,24,44,1,16.0,106c3aa1e7f2d3e7
full,0,dropout030_delay2_relay_failure_early,35,1,44,24,44,1,16.0,f2c9504a963f59da
full,0,dropout030_delay2_relay_failure_early,34,1,46,24,46,1,18.0,2534cbe70c39d15a
full,0,dropout030_delay2_relay_failure_early,32,0,260,24,-1,0,235.0,1ba65bf11e8b5df7
full,0,dropout030_delay2_relay_failure_early,39,1,44,24,44,1,16.0,6d6431f13a9644b0
full,0,dropout030_delay2_relay_failure_early,37,1,46,24,46,1,18.0,bd077a77344e19d2
full,0,dropout030_delay2_relay_failure_early,38,1,46,24,46,1,18.0,e51d41c6fe413f0e
full,0,dropout030_delay2_relay_failure_early,36,0,260,24,-1,0,235.0,5acfd50dfcbe911f
full,0,dropout030_delay2_relay_failure_early,41,1,44,24,44,1,16.0,6f55bc9383bd79b6
full,0,dropout030_delay2_relay_failure_early,40,1,45,24,45,1,17.0,83bda1e4a49fa8cb
full,0,dropout030_delay2_relay_failure_early,43,1,45,24,45,1,17.0,dc2965d48184dc7d
full,0,dropout030_delay2_relay_failure_early,42,1,47,24,47,1,19.0,46c35bbf79765a4b
full,0,dropout030_delay2_relay_failure_early,46,1,44,24,44,1,16.0,a37bda103e668d0e
full,0,dropout030_delay2_relay_failure_early,44,1,45,24,45,1,17.0,9a9dce60bd0660b8
full,0,dropout030_delay2_relay_failure_early,47,1,46,24,46,1,18.0,ad2e0b35b9067f89
full,0,dropout030_delay2_relay_failure_early,45,0,260,24,-1,0,235.0,5379eb4d5aea6b61
full,0,dropout030_delay2_relay_failure_early,49,1,44,24,44,1,16.0,6b0856ca550cb70d
full,0,dropout030_delay2_relay_failure_early,50,1,45,24,45,1,17.0,75e9dd6bee836efd
full,0,dropout030_delay2_relay_failure_early,51,1,45,24,45,1,17.0,aa059287b6269468
full,0,dropout030_delay2_relay_failure_early,48,1,47,24,47,1,19.0,34efd13164d7541f
full,0,dropout030_delay2_relay_failure_early,53,1,44,24,44,1,16.0,af8f7c8b9060d172
full,0,dropout030_delay2_relay_failure_early,52,1,45,24,45,1,17.0,4d3e6a0100bb2a06
full,0,dropout030_delay2_relay_failure_early,54,1,45,24,45,1,17.0,ca2b98b92e3a9ac0
full,0,dropout030_delay2_relay_failure_early,55,1,45,24,45,1,17.0,d0cc76edbdba179a
full,0,dropout030_delay2_relay_failure_early,56,1,44,24,44,1,16.0,73320a86cebad1cc
full,0,dropout030_delay2_relay_failure_early,58,1,44,24,44,1,16.0,ddf58ca833e4839a
full,0,dropout030_delay2_relay_failure_early,57,1,46,24,46,1,18.0,4cb9643d4177519b
full,0,dropout030_delay2_relay_failure_early,59,1,46,24,46,1,18.0,3b613550f572c200
full,0,dropout030_delay2_relay_failure_early,60,1,45,24,45,1,17.0,b703cc99bb48d0bd
full,0,dropout030_delay2_relay_failure_early,62,1,45,24,45,1,17.0,2157cb1b08dd84d1
full,0,dropout030_delay2_relay_failure_early,63,1,46,24,46,1,18.0,29b4c2286095392d
full,0,dropout030_delay2_relay_failure_early,61,0,260,24,-1,0,235.0,752b0170927ee7df
full,0,dropout030_delay2_relay_failure_early,64,1,44,24,44,1,16.0,d61ec01c7742c89e
full,0,dropout030_delay2_relay_failure_early,65,1,46,24,46,1,18.0,0aeb0b273837db45
full,0,dropout030_delay2_relay_failure_early,67,1,47,24,47,1,19.0,2fa53f39617d3d97
full,0,dropout030_delay2_relay_failure_early,66,0,260,24,-1,0,235.0,ee6b8c3b0a6857bf
full,0,dropout030_delay2_relay_failure_early,68,1,45,24,45,1,17.0,25f820b13c0442d3
full,0,dropout030_delay2_relay_failure_early,69,1,47,24,47,1,19.0,638838751c022d78
full,0,dropout030_delay2_relay_failure_early,70,0,260,24,-1,0,235.0,db20c1250ecd97c8
full,0,dropout030_delay2_relay_failure_early,71,0,260,24,-1,0,235.0,64fdbae2d0d49af4
full,0,dropout030_delay2_relay_failure_early,74,1,46,24,46,1,18.0,4216c0f08384d91e
full,0,dropout030_delay2_relay_failure_early,73,1,47,24,47,1,19.0,272f26669dafba79
full,0,dropout030_delay2_relay_failure_early,72,0,260,24,-1,0,235.0,130da721856a2e7b
full,0,dropout030_delay2_relay_failure_early,75,0,260,24,-1,0,235.0,4b93c8571385a93f
full,0,dropout030_delay2_relay_failure_early,79,1,46,24,46,1,18.0,9b9009199c503d93
full,0,dropout030_delay2_relay_failure_early,76,1,47,24,47,1,19.0,f3878b126afa72e5
full,0,dropout030_delay2_relay_failure_early,77,1,47,24,47,1,19.0,6aa6b6646e0877c2
full,0,dropout030_delay2_relay_failure_early,78,1,47,24,47,1,19.0,5945284428480a6f
full,0,dropout030_delay2_relay_failure_early,80,1,44,24,44,1,16.0,7f5470ff3a5d1ad3
full,0,dropout030_delay2_relay_failure_early,83,1,44,24,44,1,16.0,0720e6310bc4cb42
full,0,dropout030_delay2_relay_failure_early,81,1,46,24,46,1,18.0,5e6b5d76248118f5
full,0,dropout030_delay2_relay_failure_early,82,1,46,24,46,1,18.0,2e9f3fc5a7c45c08
full,0,dropout030_delay2_relay_failure_early,87,1,44,24,44,1,16.0,2577abc0825d1ad0
full,0,dropout030_delay2_relay_failure_early,84,1,45,24,45,1,17.0,a5076c281c482bdb
full,0,dropout030_delay2_relay_failure_early,86,1,45,24,45,1,17.0,80cc0526c0bb5cb1
full,0,dropout030_delay2_relay_failure_early,85,1,48,24,48,1,20.0,364b548e386f92d9
full,0,dropout030_delay2_relay_failure_early,88,1,45,24,45,1,17.0,65885ed89bd0f8fa
full,0,dropout030_delay2_relay_failure_early,91,1,45,24,45,1,17.0,110c6fc932368f8e
full,0,dropout030_delay2_relay_failure_early,89,1,46,24,46,1,18.0,599ab24bed712797
full,0,dropout030_delay2_relay_failure_early,90,0,260,24,-1,0,235.0,9f9dda117003be2d
full,0,dropout030_delay2_relay_failure_early,93,1,44,24,44,1,16.0,6933ebc9ab7741d5
full,0,dropout030_delay2_relay_failure_early,95,1,45,24,45,1,17.0,dc855b8a10e5f63c
full,0,dropout030_delay2_relay_failure_early,92,1,48,24,48,1,20.0,42a5f453e2c30deb
full,0,dropout030_delay2_relay_failure_early,94,0,260,24,-1,0,235.0,c4b4e9f2f33177c5
full,0,dropout030_delay2_relay_failure_early,96,1,44,24,44,1,16.0,74f760fb6dca40db
full,0,dropout030_delay2_relay_failure_early,98,1,44,24,44,1,16.0,dbd968cc26e38299
full,0,dropout030_delay2_relay_failure_early,97,1,46,24,46,1,18.0,8c2240c0426c3aaa
full,0,dropout030_delay2_relay_failure_early,99,0,260,24,-1,0,235.0,3827192063aca8ef
full,1,dropout030_delay2_relay_failure,0,1,44,39,44,1,1.0,38953b3681619666
full,1,dropout030_delay2_relay_failure,1,1,44,39,44,1,1.0,f69401a049864331
full,1,dropout030_delay2_relay_failure,2,1,45,39,45,1,2.0,c600153b19d65458
full,1,dropout030_delay2_relay_failure,3,1,45,39,45,1,2.0,f4454fedf1d44b58
full,1,dropout030_delay2_relay_failure,5,1,45,39,45,1,2.0,f9c6ece67e526cc2
full,1,dropout030_delay2_relay_failure,6,1,46,39,46,1,3.0,b3611ccfc2cfe15b
full,1,dropout030_delay2_relay_failure,4,1,47,39,47,1,4.0,35dde53b73122788
full,1,dropout030_delay2_relay_failure,7,1,47,39,47,1,4.0,16a17656c0c2480b
full,1,dropout030_delay2_relay_failure,11,1,46,39,46,1,3.0,347df0b91f90710b
full,1,dropout030_delay2_relay_failure,8,1,47,39,47,1,4.0,53b7032475eb6fc3
full,1,dropout030_delay2_relay_failure,10,1,48,39,48,1,5.0,a6e0d1f861b87f80
full,1,dropout030_delay2_relay_failure,9,0,260,39,-1,0,220.0,4a7f08430857c78f
full,1,dropout030_delay2_relay_failure,15,1,44,39,44,1,1.0,ceb98ea6f0764f9c
full,1,dropout030_delay2_relay_failure,12,1,46,39,46,1,3.0,077ce56c1112bf34
full,1,dropout030_delay2_relay_failure,13,1,47,39,47,1,4.0,89eeedf38e586623
full,1,dropout030_delay2_relay_failure,14,1,49,39,49,1,6.0,bd41787c35244a21
full,1,dropout030_delay2_relay_failure,19,1,45,39,45,1,2.0,0f71beb3999d7866
full,1,dropout030_delay2_relay_failure,17,1,46,39,46,1,3.0,e600fdac17ffcbc0
full,1,dropout030_delay2_relay_failure,16,1,47,39,47,1,4.0,d10c603044094ef2
full,1,dropout030_delay2_relay_failure,18,1,48,39,48,1,5.0,81f2167287d28455
full,1,dropout030_delay2_relay_failure,23,1,44,39,44,1,1.0,de335a15ed83fb52
full,1,dropout030_delay2_relay_failure,20,1,45,39,45,1,2.0,3dcdd04087335786
full,1,dropout030_delay2_relay_failure,21,1,46,39,46,1,3.0,5909e3db110c93ae
full,1,dropout030_delay2_relay_failure,22,1,50,39,50,1,7.0,7e94506c534b784c
full,1,dropout030_delay2_relay_failure,27,1,44,39,44,1,1.0,9bb8a7de2e347c20
full,1,dropout030_delay2_relay_failure,24,1,47,39,47,1,4.0,08ff205b9d632272
full,1,dropout030_delay2_relay_failure,26,1,48,39,48,1,5.0,c63a84b4d42d3ea7
full,1,dropout030_delay2_relay_failure,25,0,260,39,-1,0,220.0,f6ab9806a0d8f465
full,1,dropout030_delay2_relay_failure,30,1,45,39,45,1,2.0,651bc251fae1f0f5
full,1,dropout030_delay2_relay_failure,31,1,45,39,45,1,2.0,680f1c668e55f09d
full,1,dropout030_delay2_relay_failure,28,1,47,39,47,1,4.0,241b7265600ede99
full,1,dropout030_delay2_relay_failure,29,1,47,39,47,1,4.0,d6c37b9f0e948150
full,1,dropout030_delay2_relay_failure,33,1,44,39,44,1,1.0,841fa326539539ad
full,1,dropout030_delay2_relay_failure,35,1,44,39,44,1,1.0,3876b35821680b78
full,1,dropout030_delay2_relay_failure,34,1,46,39,46,1,3.0,2e510da26193fa4b
full,1,dropout030_delay2_relay_failure,32,1,51,39,51,1,8.0,8f3f11ab578f64a8
full,1,dropout030_delay2_relay_failure,39,1,45,39,45,1,2.0,9712be3765665809
full,1,dropout030_delay2_relay_failure,37,1,46,39,46,1,3.0,736354f9810bdad8
full,1,dropout030_delay2_relay_failure,38,1,47,39,47,1,4.0,2988727035e6e5a3
full,1,dropout030_delay2_relay_failure,36,1,50,39,50,1,7.0,6db096ff64d38ef5
full,1,dropout030_delay2_relay_failure,41,1,44,39,44,1,1.0,62cf4ad34079a109
full,1,dropout030_delay2_relay_failure,40,1,45,39,45,1,2.0,7efd028d9a2f237f
full,1,dropout030_delay2_relay_failure,43,1,45,39,45,1,2.0,89fc4278027d6c24
full,1,dropout030_delay2_relay_failure,42,1,48,39,48,1,5.0,2e2ecc8ac3207304
full,1,dropout030_delay2_relay_failure,46,1,44,39,44,1,1.0,6f5e1d0aeb1fce2e
full,1,dropout030_delay2_relay_failure,44,1,45,39,45,1,2.0,782cc158013d6005
full,1,dropout030_delay2_relay_failure,47,1,47,39,47,1,4.0,aa23069e5cd7d037
full,1,dropout030_delay2_relay_failure,45,1,49,39,49,1,6.0,1890e0726c6cd259
full,1,dropout030_delay2_relay_failure,49,1,44,39,44,1,1.0,adc4a9f4daf382e6
full,1,dropout030_delay2_relay_failure,51,1,45,39,45,1,2.0,040f18a05c0bf9a2
full,1,dropout030_delay2_relay_failure,50,1,46,39,46,1,3.0,3dd39195014b3c10
full,1,dropout030_delay2_relay_failure,48,1,48,39,48,1,5.0,95f456ba2344f4e1
full,1,dropout030_delay2_relay_failure,53,1,44,39,44,1,1.0,6365f62634b31d13
full,1,dropout030_delay2_relay_failure,52,1,45,39,45,1,2.0,89dfedc314a14dd0
full,1,dropout030_delay2_relay_failure,54,1,45,39,45,1,2.0,032eba3c5190799a
full,1,dropout030_delay2_relay_failure,55,1,45,39,45,1,2.0,d65bde4876d95597
full,1,dropout030_delay2_relay_failure,56,1,44,39,44,1,1.0,1037b47435e54acc
full,1,dropout030_delay2_relay_failure,58,1,44,39,44,1,1.0,8669eb82b8014393
full,1,dropout030_delay2_relay_failure,57,1,46,39,46,1,3.0,380103733629eb6d
full,1,dropout030_delay2_relay_failure,59,1,46,39,46,1,3.0,37a2fa467c0e2979
full,1,dropout030_delay2_relay_failure,60,1,45,39,45,1,2.0,7ebd72491e9a1f66
full,1,dropout030_delay2_relay_failure,62,1,46,39,46,1,3.0,9c440ff757fbed6c
full,1,dropout030_delay2_relay_failure,63,1,46,39,46,1,3.0,ed6be7c97bec8bc4
full,1,dropout030_delay2_relay_failure,61,0,260,39,-1,0,220.0,e146734277b7f270
full,1,dropout030_delay2_relay_failure,64,1,44,39,44,1,1.0,cc62bfdcef1ffda2
full,1,dropout030_delay2_relay_failure,65,1,46,39,46,1,3.0,2d82382635b30461
full,1,dropout030_delay2_relay_failure,67,1,47,39,47,1,4.0,09434db1efae752f
full,1,dropout030_delay2_relay_failure,66,1,52,39,52,1,9.0,74442b66ef721283
full,1,dropout030_delay2_relay_failure,68,1,46,39,46,1,3.0,33685415318f2f3e
full,1,dropout030_delay2_relay_failure,69,1,47,39,47,1,4.0,99c98b48f650a01f
full,1,dropout030_delay2_relay_failure,70,1,53,39,53,1,10.0,757e2f36e595ccde
full,1,dropout030_delay2_relay_failure,71,1,53,39,53,1,10.0,7217e2ad3d37fbd0
full,1,dropout030_delay2_relay_failure,74,1,45,39,45,1,2.0,c642eef065022962
full,1,dropout030_delay2_relay_failure,73,1,48,39,48,1,5.0,cdc663cc1f0f819b
full,1,dropout030_delay2_relay_failure,72,1,49,39,49,1,6.0,e1feef8a32bdca85
full,1,dropout030_delay2_relay_failure,75,0,260,39,-1,0,220.0,1e7298c13971f6dc
full,1,dropout030_delay2_relay_failure,77,1,46,39,46,1,3.0,54f19ba1cbc8a9c6
full,1,dropout030_delay2_relay_failure,79,1,46,39,46,1,3.0,7641853dc41407ef
full,1,dropout030_delay2_relay_failure,78,1,47,39,47,1,4.0,1070c05dd0f182e9
full,1,dropout030_delay2_relay_failure,76,1,48,39,48,1,5.0,a27e0da13d8d8026
full,1,dropout030_delay2_relay_failure,80,1,44,39,44,1,1.0,761e13790fbf8d2a
full,1,dropout030_delay2_relay_failure,83,1,45,39,45,1,2.0,676c8a57b344885f
full,1,dropout030_delay2_relay_failure,81,1,46,39,46,1,3.0,e37a865837eed0be
full,1,dropout030_delay2_relay_failure,82,1,47,39,47,1,4.0,ac9d5f9e63d09a07
full,1,dropout030_delay2_relay_failure,87,1,44,39,44,1,1.0,378007714a47f565
full,1,dropout030_delay2_relay_failure,84,1,45,39,45,1,2.0,8644ba4275611473
full,1,dropout030_delay2_relay_failure,86,1,46,39,46,1,3.0,b557aa7becfe0846
full,1,dropout030_delay2_relay_failure,85,1,48,39,48,1,5.0,0ce12e26b74410b7
full,1,dropout030_delay2_relay_failure,88,1,45,39,45,1,2.0,7cf6aaa8356e5709
full,1,dropout030_delay2_relay_failure,91,1,45,39,45,1,2.0,f7fbd8a242f4c269
full,1,dropout030_delay2_relay_failure,89,1,46,39,46,1,3.0,58874dbbf1b705a9
full,1,dropout030_delay2_relay_failure,90,1,48,39,48,1,5.0,8b602cce3b7a5d4e
