file,line,issue_type,severity,original_text,replacement_text,evidence_source,status
05_experiments.tex,13,number_scope,P0,"The full multi-relation method achieves an 88.6% post-failure recovery rate, compared with 53.2% ... 21.8% ... tracking from 47.5% to 77.6% ...","replace with canonical table1_held_out numbers (Full recovery 0.9706±0.0213, t_rec 10.8±0.6; vs MAPPO/HAPPO/param_matched 17.4/16.3/26.2)",canonical_results_v1_5 table1_held_out,deprecated-section-rebuild
05_experiments.tex,17,number_scope,P0,"The seed-aware bootstrap indicates ... 35.4 percentage points ... [1.2, 73.0] ... 66.8 ... [28.6, 93.8] ... single-graph baseline has a 2.8% mean collision rate",delete (old bootstrap); report locked 3-seed mean ± SD and Wilson95 lower bound from canonical table1_held_out,canonical_results_v1_5,deprecated-section-rebuild
05_experiments.tex,23,number_scope,P0,"early-failure setting ... 88.2% ... 46.6% ... 23.2% ... 41.6 pp ... [4.4, 78.6]","replace with locked robustness numbers (R00–R09 degradation, ΔRecovery/Δt_rec/worst-seed) from canonical table3_robustness",canonical table3_robustness,deprecated-section-rebuild
05_experiments.tex,35,experiment_claim,P0,This supports role-pair-conditioned message gating as the cleanest current mechanism contribution.,Delete. Locked evidence shows role-pair modulation provides no consistent independent gain (recovery 0.990 without it); do not claim it as a mechanism contribution.,robustness RPG verdict REMOVE/simplify; canonical table2_ablation,deprecated-section-rebuild
05_experiments.tex,37,experiment_claim,P0,"Removing task-support relations also reduces mean recovery from 88.6% to 64.8%, but its seed-aware recovery interval crosses zero. Therefore ... supportive mechanism evidence rather than as a statistically decisive result.",Replace with locked numbers: removing task-support lowers recovery 0.972→0.892 and raises t_rec 10.8→15.0; internal temporal analysis (pre 0.141→early 0.092→pre-rec 0.090) shows no post-failure activation increase ⇒ empirical support only.,task-support-mechanism-results-lock,deprecated-section-rebuild
05_experiments.tex,43,experiment_claim,P0,"Figure ... shows failure-aligned tracking, connectivity, chain-closure, and recovery-CDF curves ... aggregated over the matched fixed-budget test set","Replace with locked case-trajectory figures (task_support case manifest, fixed selection rule) and R00–R09 robustness degradation curves",task_support_assets; canonical table3_robustness,deprecated-section-rebuild
05_experiments.tex,63,experiment_claim,P1,This additional cost is modest in absolute CPU actor-forward latency for the present 3v1 setting,"Replace with the honest efficiency framing: Full has higher joint-decision latency (12.05 ms), lower e2e throughput (242 env-steps/s) and highest training peak memory (71.9 MB); it trades computational cost for faster task-level recovery",efficiency-results-lock-v1.5.0 (canonical table4),deprecated-section-rebuild
05_experiments.tex,69,experiment_claim,P2,three-seed no-curriculum development diagnostic ... 88.9% ... 87.8% ... 2.2 percentage points,"remove old numbers; keep the statement that topology curriculum is a training protocol, not a primary contribution (no v1.5 claim needed)",PAPER_RESTRUCTURE_MAP §12,open
06_discussion.tex,3,experiment_claim,P0,The fixed-budget five-seed evaluation strengthens this claim ... improves recovery over both no-graph and single-graph baselines while maintaining zero test collisions,"Replace with locked framing: near-saturated reliability (0.971±0.021) with recovery latency reduced ~38%/34%/59% vs MAPPO/HAPPO/param-matched; the advantage is reliability–recovery-speed trade-off, not uniform dominance",canonical table1_held_out,fixed
06_discussion.tex,5,experiment_claim,P0,The strongest mechanism evidence is the role-pair-conditioned message-gating ablation ... separates in favor of the full method ... task-support relation ablation ... crosses zero,"Replace with: the strongest mechanism evidence is Gate Prior (cross-seed gate corr 0.962 vs 0.562, AUC 0.545 vs 0.396, worst-seed stability); Task-Support is empirical; role-pair modulation has no consistent independent gain",gate-prior-mechanism-results-lock; canonical table2_ablation,fixed
06_discussion.tex,9,experiment_claim,P0,the current paper-facing package uses a fixed checkpoint at update 60 ... should not be mixed with validation-selected results,"Replace with: results come from a locked pre-registered protocol (fixed checkpoints update_0700/update_0100 etc., validation-selected 27-checkpoint manifest, held-out base_seed 745669 used once); see formal protocol documents",held-out protocol; 27-checkpoint manifest lock,fixed
07_conclusion.tex,5,experiment_claim,P0,"Across five training seeds and 500 matched test episodes, the full multi-relation method achieves 88.6% recovery, compared with 53.2% ... 21.8% ... removing role-pair-conditioned message gating significantly degrades recovery","Across 3 training seeds and a 10,800-episode held-out, Full reaches recovery 0.971±0.021 with t_rec 10.8±0.6; ablation shows Gate Prior (0.972→0.772) and Task-Support (0.972→0.892) matter, while role-pair modulation shows no independent gain",canonical tables (locked),fixed
07_conclusion.tex,3,contribution_level,P1,"The method separates perception, communication, and task-support relations and uses role-pair-conditioned message propagation under centralized training and decentralized execution.","The method separates perception, communication, and task-support relations processed by state-dependent edge-feature-modulated attention under centralized training and decentralized execution; Gate Prior stabilizes role-structured optimization.",PAPER_RESTRUCTURE_MAP §14,fixed
